study_id,Anatomical,Surface-Recon-Method,Functional-Volume,Functional-Surface,Date-Processed,DWI,Precomputed,Recon-all
sub-1008,,,,,,True,,
sub-1011,,,,,,True,,
sub-1017,True,mcribs,True,False,2023-12-22,True,True,True
sub-1018,,,,,,,True,True
sub-1019,,,,,,True,,
sub-1022,True,mcribs,True,False,2023-11-02,True,True,True
sub-1024,True,mcribs,True,False,2023-12-23,True,True,True
sub-1027,,,,,,True,,
sub-1029,True,mcribs,True,False,2023-12-22,True,True,True
sub-1034,False,mcribs,True,False,2023-11-06,,True,True
sub-1039,True,mcribs,True,False,2024-06-27,True,True,True
sub-1041,False,mcribs,True,False,2023-11-10,True,True,True
sub-1043,True,mcribs,True,False,2024-10-15,True,True,True
sub-1050,,,,,,True,True,True
sub-1051,True,mcribs,True,False,2024-10-03,True,True,True
sub-1053,True,mcribs,True,False,2024-10-07,True,True,True
sub-1054,True,mcribs,True,False,2024-10-07,True,True,True
sub-1055,True,mcribs,True,False,2024-10-22,True,True,True
sub-1056,True,mcribs,True,False,2024-10-16,True,True,True
sub-1057,True,mcribs,True,False,2024-10-22,,True,True
sub-1058,True,mcribs,True,False,2024-10-09,True,True,True
sub-1059,True,mcribs,True,False,2024-10-17,,True,True
sub-1064,True,mcribs,True,False,2024-10-23,True,True,True
sub-1069,True,mcribs,True,False,2024-10-15,True,True,True
sub-1073,True,mcribs,True,False,2024-10-26,True,True,True
sub-1077,True,mcribs,True,False,2024-10-26,True,True,True
sub-1081,,,,,,,,True
sub-1087,,,,,,,True,True
sub-1090,True,mcribs,True,False,2024-10-26,True,True,True
sub-1091,True,mcribs,True,False,2024-10-24,True,True,True
sub-1096,True,mcribs,True,False,2024-10-08,True,True,True
sub-1098,True,mcribs,True,False,2024-10-23,True,True,True
sub-1099,True,mcribs,True,False,2024-06-04,True,True,True
sub-1103,True,mcribs,True,False,2024-10-16,,True,True
sub-1105,True,mcribs,True,False,2024-10-08,,True,True
sub-1121,True,mcribs,True,False,2024-06-05,True,True,True
sub-1123,True,mcribs,True,False,2024-10-26,True,True,True
sub-1125,True,mcribs,True,False,2024-10-23,True,True,True
sub-1128,,,,,,True,True,True
sub-1129,True,mcribs,True,False,2024-10-23,True,True,True
sub-1134,True,mcribs,True,False,2024-10-23,True,True,True
sub-1135,True,mcribs,True,False,2024-07-04,True,True,True
sub-1137,True,mcribs,True,False,2024-10-20,True,True,True
sub-1138,True,mcribs,True,False,2024-10-16,True,True,True
sub-1145,False,mcribs,False,False,2023-11-09,,True,True
sub-1148,True,mcribs,True,False,2024-10-22,,True,True
sub-1159,False,mcribs,False,False,2023-12-22,,True,True
sub-1176,True,mcribs,True,False,2024-05-25,True,True,True
sub-1305,True,mcribs,True,False,2024-10-23,,True,True
sub-1315,True,mcribs,True,False,2024-10-24,True,True,True
sub-1324,True,mcribs,True,True,2024-10-26,,True,True
sub-1325,True,mcribs,True,False,2024-10-23,True,True,True
sub-1328,False,mcribs,True,False,2023-12-01,True,True,True
sub-1329,True,mcribs,True,False,2024-10-19,,True,True
sub-1331,True,mcribs,True,False,2024-10-28,,True,True
sub-1335,True,mcribs,True,False,2024-06-15,True,True,True
sub-1339,True,mcribs,True,False,2024-10-24,True,True,True
sub-1340,True,mcribs,True,False,2024-10-24,True,True,True
sub-1341,False,mcribs,True,False,2024-10-26,True,True,True
sub-1342,True,mcribs,True,False,2024-04-27,True,True,True
sub-1344,True,mcribs,True,False,2024-05-16,True,True,True
sub-1346,True,mcribs,True,True,2024-10-02,True,True,True
sub-1348,True,mcribs,True,False,2024-10-24,True,True,True
sub-1349,False,mcribs,True,False,2024-10-08,True,True,True
sub-1365,True,mcribs,True,False,2024-10-19,True,True,True
sub-1366,True,mcribs,True,False,2024-10-16,True,True,True
sub-1367,False,mcribs,True,False,2024-10-24,True,True,True
sub-1368,,,,,,,,True
sub-1373,True,mcribs,True,False,2024-06-28,True,True,True
sub-1375,,,,,,,,True
sub-1378,True,mcribs,True,False,2024-05-21,True,True,True
sub-1386,True,mcribs,True,False,2024-05-13,True,True,True
sub-1389,True,mcribs,True,False,2024-06-27,True,True,True
sub-1390,True,mcribs,True,False,2024-10-26,True,True,True
sub-1392,True,mcribs,True,False,2024-06-26,True,True,True
sub-1395,True,mcribs,True,False,2024-06-03,True,True,True
sub-1396,True,mcribs,True,False,2024-07-22,True,True,True
sub-1399,True,mcribs,True,False,2024-10-08,True,True,True
sub-1401,True,mcribs,False,False,2023-12-28,,True,True
sub-1404,True,mcribs,True,False,2024-06-27,True,True,True
sub-1405,True,mcribs,True,True,2024-10-15,,True,True
sub-1407,True,mcribs,True,False,2024-10-28,True,True,True
sub-1408,True,mcribs,True,False,2024-10-06,True,True,True
sub-1410,True,mcribs,True,False,2024-10-19,True,True,True
sub-1413,True,mcribs,True,False,2024-05-17,True,True,True
sub-1414,True,mcribs,True,False,2024-10-23,True,True,True
sub-1417,True,mcribs,True,False,2024-10-23,True,True,True
sub-1418,True,mcribs,True,False,2024-05-08,True,True,True
sub-1420,True,mcribs,True,False,2024-05-20,True,True,True
sub-1423,,,,,,,True,True
sub-1425,True,mcribs,True,False,2024-10-13,,True,True
sub-1428,True,mcribs,True,False,2024-06-07,True,True,True
sub-1432,,,,,,,True,True
sub-1434,True,mcribs,True,False,2024-07-02,True,True,True
sub-1436,,,,,,,,True
sub-1440,True,mcribs,True,False,2024-06-23,True,True,True
sub-1441,True,mcribs,True,False,2024-10-23,True,True,True
sub-1442,True,mcribs,True,False,2024-02-11,True,True,True
sub-1444,,,,,,,,True
sub-1450,True,mcribs,True,False,2024-05-25,True,True,True
sub-1452,False,mcribs,True,False,2024-06-30,True,True,True
sub-1456,True,mcribs,True,False,2024-06-15,True,True,True
sub-1457,True,mcribs,True,False,2024-10-23,True,True,True
sub-1459,True,infantfs,True,True,2024-09-06,True,True,True
sub-1462,True,mcribs,True,True,2024-09-07,True,True,True
sub-1463,True,mcribs,True,False,2024-10-23,True,True,True
sub-1464,True,mcribs,True,False,2024-10-23,,True,True
sub-1465,True,mcribs,True,False,2024-06-30,True,True,True
sub-1468,True,mcribs,True,False,2024-07-02,True,True,True
sub-1470,,,,,,,,True
sub-1472,False,mcribs,True,False,2024-09-07,True,True,True
sub-1475,True,mcribs,True,False,2024-10-10,True,True,True
sub-1476,True,mcribs,True,True,2024-10-23,,True,True
sub-1481,True,mcribs,True,False,2024-05-11,True,True,True
sub-1483,True,mcribs,True,False,2024-03-29,True,True,True
sub-1489,False,mcribs,True,False,2024-09-08,True,True,True
sub-1492,True,mcribs,True,False,2024-07-18,True,True,True
sub-1495,False,mcribs,True,False,2023-11-05,True,True,True
sub-1500,True,mcribs,True,False,2024-06-25,True,True,True
sub-1501,True,mcribs,True,False,2024-06-12,,True,True
sub-1502,True,mcribs,True,False,2024-07-03,True,True,True
sub-1503,True,mcribs,True,True,2024-10-02,True,True,True
sub-1506,True,mcribs,True,False,2024-06-12,True,True,True
sub-1518,,,,,,,,True
