study_id,Anatomical,Surface-Recon-Method,Functional-Volume,Functional-Surface,Date-Processed,DWI,Precomputed,Recon-all
sub-1011,True,mcribs,True,True,2024-09-11,,True,True
sub-1018,True,infantfs,True,True,2024-09-05,,True,True
sub-1019,True,infantfs,True,True,2024-09-05,,True,True
sub-1022,True,infantfs,True,True,2024-09-05,,True,True
sub-1027,True,infantfs,True,True,2024-09-05,,True,True
sub-1029,True,infantfs,True,True,2024-09-05,,True,True
sub-1034,True,infantfs,True,True,2024-09-06,,True,True
sub-1041,True,infantfs,True,True,2024-07-01,,True,True
sub-1050,True,infantfs,False,False,2024-07-19,,True,True
sub-1053,True,infantfs,True,True,2024-07-09,,True,True
sub-1055,True,infantfs,False,False,2024-07-23,,True,True
sub-1056,False,mcribs,False,False,2024-08-28,,True,True
sub-1058,True,infantfs,True,True,2024-07-12,,True,True
sub-1062,True,infantfs,True,True,2024-07-15,,True,True
sub-1073,True,infantfs,False,False,2024-07-23,,True,True
sub-1098,True,infantfs,True,False,2024-03-01,,,True
sub-1325,True,infantfs,True,False,2024-03-01,,,True
sub-1328,True,infantfs,False,False,2024-09-07,,,True
sub-1329,True,infantfs,True,False,2024-03-01,,,True
sub-1386,True,infantfs,True,False,2024-03-01,,,True
sub-1392,True,infantfs,True,False,2024-03-01,,,True
sub-1408,True,infantfs,True,False,2024-03-01,,,True
sub-1410,True,infantfs,True,False,2024-03-01,,,True
sub-1413,True,infantfs,True,False,2024-03-01,,,True
sub-1414,True,infantfs,True,False,2024-03-02,,,True
sub-1417,True,infantfs,True,False,2024-03-02,,,True
sub-1423,True,infantfs,True,False,2024-03-02,,,True
sub-1441,False,infantfs,False,False,2024-03-02,,,True
sub-1442,True,infantfs,True,False,2024-03-02,,,True
sub-1452,True,infantfs,False,False,2024-09-07,,,True
sub-1457,True,infantfs,True,False,2024-03-02,,,True
sub-1463,True,infantfs,False,False,2024-09-07,,,True
sub-1464,True,infantfs,True,False,2024-03-02,,,True
sub-1465,True,infantfs,False,False,2024-09-07,,,True
sub-1468,True,infantfs,True,False,2024-03-02,,,True
sub-1470,True,infantfs,False,False,2024-09-07,,,True
sub-1481,True,infantfs,True,False,2024-03-02,,,True
sub-1489,True,infantfs,True,False,2024-03-02,,,True
sub-1492,True,infantfs,True,False,2024-03-03,,,True
sub-1503,True,infantfs,True,False,2024-03-03,,,True
sub-1504,True,infantfs,True,False,2024-03-03,,,True
